genotype,n_files,parameter,harmonic,mask,min_value,lower_bound,mean,upper_bound,max_value
DJ1aDJ1b_1dpe,10,c50,1F1,0,6.611252022261853,7.455686510665308,11.97722638951845,22.848860629692275,30.360718983328503
DJ1aDJ1b_1dpe,10,Rmax,1F1,0,14.104784515632213,15.298351810870495,18.54195974566466,22.130467418995302,24.561436069825376
DJ1aDJ1b_1dpe,10,c50,1F1,30,12.691912822631716,24.707270258804115,40.62067052699412,57.31368880077173,66.63790315327722
DJ1aDJ1b_1dpe,10,Rmax,1F1,30,19.094946385712312,29.41006763734541,53.21268506374094,78.49960473405024,90.32626783396204
DJ1aDJ1b_1dpe,10,c50,2F1,0,44.88180536241904,54.001764394572646,77.95822555013342,102.67856753940477,122.43811136389407
DJ1aDJ1b_1dpe,10,Rmax,2F1,0,22.71020330516261,34.470854544846034,59.95892154642044,89.49232992069796,109.68813864731018
DJ1aDJ1b_1dpe,10,c50,2F1,30,40.44161483023869,48.31047509653743,64.27050682220614,75.97764656831909,76.96867169517449
DJ1aDJ1b_1dpe,10,Rmax,2F1,30,3.9056817630168026,5.928817078239745,9.931563659071774,14.006084547114675,17.04081984720991
DJ1aDJ1b_7dpe,10,c50,1F1,0,8.895257288688128,11.405585659263181,21.00617467325114,36.03877844675666,49.717634636662766
DJ1aDJ1b_7dpe,10,Rmax,1F1,0,15.403858391037664,17.818464152368733,21.37878957295531,25.093780154570247,28.28898846122169
DJ1aDJ1b_7dpe,10,c50,1F1,30,16.36311045367726,29.15997066750497,44.81341404552486,59.40265235432023,68.26012122048715
DJ1aDJ1b_7dpe,10,Rmax,1F1,30,10.187035348571488,19.307862586152602,34.33391782671648,51.06625696740964,60.36141194117672
DJ1aDJ1b_7dpe,10,c50,2F1,0,26.63265269891724,37.66334653066231,67.23832371859011,97.25132020600584,114.0267826380684
DJ1aDJ1b_7dpe,10,Rmax,2F1,0,9.138783298341648,15.249856094884555,29.21588517301682,46.22151207182167,56.60020945512472
DJ1aDJ1b_7dpe,10,c50,2F1,30,42.4079160760093,51.41113790513854,64.24794385089339,75.30181963920171,76.73336913831638
DJ1aDJ1b_7dpe,10,Rmax,2F1,30,4.132492946224419,6.683562495580678,11.735936011913116,17.3554041360347,20.29883692077801
