genotype,n_files,parameter,harmonic,mask,min_value,lower_bound,mean,upper_bound,max_value
DJ1aDJ1b_1dpe,10,c50,1F1,0,8.505008544008552,8.5620293011764,11.687087324818528,17.28237558081087,17.50873013610361
DJ1aDJ1b_1dpe,10,Rmax,1F1,0,16.953346897628094,17.096326085602158,19.110937550330835,22.127817192767978,22.465513235548833
DJ1aDJ1b_1dpe,10,c50,1F1,30,27.45223564288918,28.548687340689202,42.00063929462328,58.66787405617844,59.93085921285998
DJ1aDJ1b_1dpe,10,Rmax,1F1,30,32.36378494529121,32.54023852107955,53.24242253264559,78.00114323860348,79.6980954913709
DJ1aDJ1b_1dpe,10,c50,2F1,0,59.861398380607376,60.165441095276556,73.97359772643782,89.87106012200353,90.59616978728842
DJ1aDJ1b_1dpe,10,Rmax,2F1,0,32.91036951902946,34.0403531076796,53.64513381494386,70.98412759922532,71.67122508633004
DJ1aDJ1b_1dpe,10,c50,2F1,30,45.00770226193474,46.7286492411833,57.14984923553844,68.87449866586665,70.25657859771454
DJ1aDJ1b_1dpe,10,Rmax,2F1,30,6.0936455118325545,6.2671325574064305,8.63956321034705,11.463695360642326,11.75749105625999
DJ1aDJ1b_7dpe,10,c50,1F1,0,13.243515170751719,13.263338912363931,20.26928673146059,28.111611099209675,28.5765552587088
DJ1aDJ1b_7dpe,10,Rmax,1F1,0,18.454263006046475,18.55302581989377,20.74135676253949,23.795510862021903,24.151530711562124
DJ1aDJ1b_7dpe,10,c50,1F1,30,21.853955861666872,22.92665642800786,42.43298941101372,54.3548209545917,54.51853982291506
DJ1aDJ1b_7dpe,10,Rmax,1F1,30,17.235756629155127,18.42013663068374,32.31109346561392,42.975305585175754,43.72701113846087
DJ1aDJ1b_7dpe,10,c50,2F1,0,53.28759341452495,54.03669277217006,67.37261529354882,76.92264228720167,77.35340297751546
DJ1aDJ1b_7dpe,10,Rmax,2F1,0,19.552388732399496,19.666379546655346,28.882748989683837,39.880877631450815,42.09564210045039
DJ1aDJ1b_7dpe,10,c50,2F1,30,56.70877193581562,56.74098569121136,66.41718138881585,75.3524572678957,75.48812262075488
DJ1aDJ1b_7dpe,10,Rmax,2F1,30,10.026153566678198,10.111886765515488,11.948373939245544,13.441257090365319,13.533610557088787
